REACTION	ROLE	SUBSYSTEM	SOURCE	COMPLEX	MASTER
rxn12008_c0	Octaprenyl-diphosphate synthase (EC 2.5.1.-)	Polyprenyl_Diphosphate_Biosynthesis	MATT FILE	100000	1
rxn12008_c0	Solanesyl diphosphate synthase (Sds) (EC 2.5.1.11)	Polyprenyl_Diphosphate_Biosynthesis	MATT FILE	100001	1
rxn10155_c0	C4-dicarboxylate transporter DcuA	NONE	CHRIS FILE	2035	1
rxn10155_c0	C4-dicarboxylate transporter DcuB	NONE	CHRIS FILE	2035	1
rxn00541_c0	Low-specificity L-threonine aldolase (EC 4.1.2.5)	NONE	Hope|MATT FILE	100002	1
rxn00225_c0	Acetate kinase (EC 2.7.2.1)	NONE	Hope|MATT FILE|MATT FILE|MATT FILE|MATT FILE|CHRIS FILE	1	1
rxn00225_c0	Acetate kinase (EC 2.7.2.1)	NONE	Hope|MATT FILE|MATT FILE|MATT FILE|MATT FILE|CHRIS FILE	1	1
rxn00225_c0	Acetate kinase (EC 2.7.2.1)	NONE	Hope|MATT FILE|MATT FILE|MATT FILE|MATT FILE|CHRIS FILE	1	1
rxn00225_c0	Acetate kinase (EC 2.7.2.1)	NONE	Hope|MATT FILE|MATT FILE|MATT FILE|MATT FILE|CHRIS FILE	1	1
rxn08954_c0	Lipopolysaccharide core biosynthesis protein RfaZ	NONE	CHRIS FILE	2046	1
rxn01674_c0	Uridine kinase (EC 2.7.1.48) [C1]	NONE	CHRIS FILE	2	1
rxn07291_c0	Sulfur carrier protein adenylyltransferase ThiF	NONE	Hope	100003	0
rxn05901_c0	Acyl-phosphate:glycerol-3-phosphate O-acyltransferase PlsY	NONE	Hope	100004	0
rxn05901_c0	Glycerol-3-phosphate acyltransferase (EC 2.3.1.15)	NONE	Hope	100005	0
rxn05901_c0	Phosphate:acyl-ACP acyltransferase PlsX	NONE	Hope	100006	0
rxn05572_c0	D-glucarate permease	NONE	CHRIS FILE	4	1
rxn05572_c0	D-galactarate permease	NONE	CHRIS FILE	1668	1
rxn04659_c0	N-acetyl-lysine aminotransferase (EC 2.6.1.-)	NONE	Hope|MATT FILE	100007	1
rxn01199_c0	Xylulose kinase (EC 2.7.1.17)	NONE	Hope|MATT FILE|MATT FILE|CHRIS FILE	5	1
rxn01199_c0	Xylulose kinase (EC 2.7.1.17)	NONE	Hope|MATT FILE|MATT FILE|CHRIS FILE	5	1
rxn10215_c0	1-acyl-sn-glycerol-3-phosphate acyltransferase (EC 2.3.1.51)	NONE	CHRIS FILE	6	1
