NAME	SMALL_MOLECULE	ENERGY	CHARGE	ERROR	FORMULA	DATFILE	STRUCTURAL_CUES
acetone	1	-38.52	0	0.5	C3O1H6	acetone.gds	
acetate	1	-88.29	-1	0.5	C2H3O2	acetate.gds	
acetaldehyde	1	-33.4	0	0.5	C2H4O	acetaldehyde.gds	
methylamine	1	-9.55	1	0.5	CNH6	methylamine.gds	
ethane	1	-4.065	0	0.5	C2H6	ethane.gds	
ethanol	1	-43.44	0	0.5	C2H6O1	ethanol.gds	
NH4plus	1	-18.97	1	0.5	N1H4	NH4plus.gds	
NitrousOx	1	18.2552	1	1.5241	O2N1	NitrousOx.gds	
FeS	1	-10000	0	0	Fe1S1	FeS.gds	
ferricy	1	-10000	0	0	Fe1C1N1	ferricy.gds	
cmonox|CO	1	-28.6568	0	0.5	CO	cmonox.gds	
hydroxylamine	1	-38.8954	0	0.79702	H1O1N1H2	hydroxylamine.gds	
carbamate	1	-95.7	-1	0.5	C1H2N1O2	carbamate.gds	
triS	1	-229	-2	0.5	S3O6	triS.gds	
S2O4	1	-143.5	0	0.5	S2O4	S2O4.gds	
N2H4	1	30.6	0	0.5	N2H4	N2H4.gds	
urea	1	-48.7	0	0.5	C1H4N2O1	urea.gds	
SO2	1	-71.9	0	0.5	SO2	SO2.gds	
ClO3	1	-0.8	-1	0.5	ClO3	ClO3.gds	
ClO2	1	4.1	-1	0.5	ClO2	ClO2.gds	
HNO	1	11.8205	0	0.71845	HNO	HNO.gds	
CH4	1	-8.2051	0	0.5	CH4	CH4.gds	
chloromethane	1	-12.6	0	1.9008	CH3Cl	chloromethane.gds	
dichloromethane	1	-15.8	0	1.9008	CH2Cl2	dichloromethane.gds	
trichloromethane	1	-15.9	0	1.9008	CHCl3	trichloromethane.gds	
tetrachloromethane	1	-10.8	0	1.9008	CCl4	tetrachloromethane.gds	
S2O3H	1	-122.7	-2	0.5	O3S2	S2O3H.gds	
CO2	1	-92.26	0	0.5	C1O2	CO2.gds	
H2	1	4.2065	0	0.5	H2	H2.gds	
H2O|OH-|HO-	1	-56.687	0	0.5	H2O	H2O.gds	
H2O2	1	-32.05	0	0.5	H2O2	H2O2.gds	
H2S|HS-	1	-6.66	0	0.5	H2S1	H2S.gds	
H2Se	1	-10000	0	0	Se1H2	H2Se.gds	
cyanicacid	1	-10000	0	0	C1N1O1	cyanicacid.gds	WtrpCW:1|WtrpN:1|PrimOH:1
selenophos	1	-10000	0	0	Se1P1O3H2	selenophos.gds	
sulfate	1	-177.97	-2	0.5	S1O4	sulfate.gds	
sulfite	1	-126.15	-1	0.5	O3S1H1	sulfite.gds	
oxalate	1	-161	-2	0.5	C2H2O4	oxalate.gds	
nitrite	1	-8.9	-1	0.5	NO2	nitrite.gds	
MeOH	1	-41.9	0	0.5	C1H4O1	MeOH.gds	
formate	1	-83.9	-1	0.5	C1H1O2	formate.gds	
formaldehyde	1	-31.2	0	0.5	C1H2O1	formaldehyde.gds	
formylphosphate	1	-302.5648	-1	1.9265	CH2O5P	formylphosphate.gds	
HCO3	1	-140.26	-1	0.5	C1H1O3	HCO3.gds	
Itriphos	1	-10000	-4	0	H1O10P3	Itriphos.gds	
thiopyrophos	1	-10000	-2	0	H1O5S2P2	thiopyrophos.gds	
pyrophos	1	-480.93	-2	0.5	H1O7P2	pyrophos.gds	
orthophosphate	1	-261.974	-2	0.5	H1O4P1	orthophosphate.gds	
PO3	1	-10000	-1	0	O3P	PO3.gds	
