Bayesian	Gram negative	Gram positive
BaseProbabilities	194	82
Copper-sensing two-component system response regulator CpxR	-6.90775527898214	-0.837041360220015
Probable two-component sensor	-6.90775527898214	-1.6569402464191
Chromosome partition protein MukB	-6.90775527898214	-1.41771055735327
GTP-binding protein	-6.90775527898214	-1.74149763444717
Transcriptional regulatory protein RtcR	-6.90775527898214	-1.86666077740117
Protein SseB	-6.90775527898214	-1.90056232907685
FIG000906: Predicted Permease	-6.90775527898214	-0.642885345779057
Nitrogen regulatory protein P-II, glnK	-6.90775527898214	-1.71251009757391
Lipoprotein nlpI precursor	-6.90775527898214	-1.27887411249905
FIG009095: D,D-carboxypeptidase family protein	-6.90775527898214	-1.60429651293368
GTP-sensing transcriptional pleiotropic repressor codY	-0.279584862219162	-6.90775527898214
Mediator of hyperadherence YidE	-6.90775527898214	-1.71251009757391
Lysine-arginine-ornithine-binding periplasmic protein precursor (TC 3.A.1.3.1)	-6.90775527898214	-0.768048488733063
Flavodoxin 1	-6.90775527898214	-0.873409004390889
Phage baseplate assembly protein	-6.90775527898214	-1.20741514851691
Modification methylase	-6.90775527898214	-1.57897870494939
Periplasmic aromatic aldehyde oxidoreductase, molybdenum binding subunit YagR	-6.90775527898214	-1.53018854077996
Protein YbgE	-6.90775527898214	-1.71251009757391
FIG027190: Putative transmembrane protein	-6.90775527898214	-0.362583380624899
Hydrolase, alpha/beta fold family functionally coupled to Phosphoribulokinase	-6.90775527898214	-0.991192040047273
Manganese uptake regulation protein MUR	-6.90775527898214	-1.8021222562636
Uncharacterized protein ImpC	-6.90775527898214	-0.108802859848799
General secretion pathway protein G	-6.90775527898214	-0.43157625211185
Regulator of sigma D	-6.90775527898214	-1.29756624551121
FIG004016: Uncharacterized protein YggN	-6.90775527898214	-1.57897870494939
Aconitate hydratase 2 (EC 4.2.1.3) @ 2-methylisocitrate dehydratase (EC 4.2.1.99)	-6.90775527898214	-1.24250646832818
MFS family multidrug transport protein, bicyclomycin resistance protein	-6.90775527898214	-1.57897870494939
Membrane protein YciC, linked to IspA	-6.90775527898214	-1.90056232907685
invasion plasmid antigen / internalin, putative	-6.90775527898214	-1.50665804336977
ABC transporter, ATP-binding protein EcsA	-0.312374685042152	-6.90775527898214
